pmid	year	uses_seer	queries	journal	title
42368671	2026	True	marital_seer	Current urology	Cancer-specific mortality of grade group 1 prostate cancer: Results from Surveillance, Epidemiology, and End Results Database, 2004-2021.
42352495	2026	True	marital_seer	Cancers	Clinical and Sociodemographic Determinants of Treatment Selection in Prostate Cancer: A Population-Based Study in the United States (2004-2022).
41570161	2026	True	marital_seer	The Prostate	Effect of Marital Status on Years of Life Lost From Metastatic Prostate Cancer According to Race/Ethnicity.
42036417	2026	True	marital_seer	Scientific reports	Advanced age increases cancer-specific mortality in bone-only metastatic prostate cancer: a SEER analysis.
41729968	2026	True	marital_seer	PloS one	Survival study of cytoreductive prostatectomy for prostate cancer with lung metastasis: A propensity score matching study based on the SEER database.
41650062	2026	True	marital_seer	Medicine	Construction and validation of a competing risk model for specific survival of patients with second primary malignancies after prostate cancer.
41176642	2025	True	marital_seer	Cancer	Association between medication burden and acute care use in older metastatic prostate cancer patients on androgen receptor signaling inhibitors.
40675872	2025	True	marital_seer	European urology oncology	Years of Life Lost in Metastatic and Locally Advanced Prostate Cancer.
40394805	2025	True	marital_seer	The Prostate	Survival Outcomes for Rural Patients With Advanced Prostate Cancer: A SEER Investigation.
40619463	2025	True	marital_seer	Scientific reports	Interpretable machine learning models for survival prediction in prostate cancer bone metastases.
40457502	2025	True	marital_seer	Cardio-oncology (London, England)	Atherosclerosis as a cause of death in patients with cancer: a cohort study.
40334346	2025	True	marital_seer	European journal of oncology nursing : the official journal of European Oncology Nursing Society	Suicide risk in prostate cancer patients: Trends, predictors, and development of predictive nomograms using SEER data.
38102521	2025	True	marital_seer	Journal of cancer survivorship : research and practice	Health-related quality of life among prostate cancer survivors with metastatic disease and non-metastatic disease and men without a cancer history in the USA.
40788211	2025	True	marital_seer	Zhonghua nan ke xue = National journal of andrology	[Clinical prediction model for patients with early-onset prostate cancer without surgical treatment: Based on the SEER Database].
40215231	2025	True	marital_seer	PloS one	Chemotherapy and Heart-Specific Mortality in Elderly Men with Prostate Cancer: A Propensity Score Matching Analysis.
40276742	2025	True	marital_seer	Frontiers in medicine	Developing a model for predicting suicide risk among prostate cancer survivors.
39731026	2024	True	marital_seer	International journal of emergency medicine	Stomach and duodenal ulcer as a cause of death in patients with cancer: a cohort study.
39158464	2024	True	marital_seer	Cancer	Assessing sociodemographic and regional disparities in Oncotype DX Genomic Prostate Score uptake.
39678407	2024	True	marital_seer	Gland surgery	Development and external validation of a nomogram to predict the prognosis of patients with metastatic prostate cancer who underwent radiotherapy.
38702689	2024	True	marital_seer	BMC surgery	Survival benefit of radical prostatectomy in patients with advanced TURP-diagnosed prostate cancer: a population-based real-world study.
38796687	2024	True	marital_seer	JNCI cancer spectrum	Emergency department involvement in the diagnosis of cancer among older adults: a SEER-Medicare study.
38485743	2024	True	marital_seer	Scientific reports	A study on the impact of marital status on the survival status of prostate cancer patients based on propensity score matching.
38567600	2024	True	marital_seer	European review for medical and pharmacological sciences	Risk factor analysis and nomogram construction in patients with distant metastatic prostate cancer at different PSA levels: a study based on the SEER database.
38281261	2024	True	marital_seer	Journal of cancer research and clinical oncology	Nomogram for predicting the overall survival and cancer-specific survival of patients with intraductal carcinoma of the prostate.
38184526	2024	True	marital_seer	BMC urology	Prognostic significance of surgery and radiotherapy in elderly patients with localized prostate cancer: establishing and time-based external validation a nomogram from SEER-based study.
38049755	2023	True	marital_seer	BMC urology	Development and validation of two nomograms for predicting overall survival and Cancer-specific survival in prostate cancer patients with bone metastases: a population-based study.
38044985	2023	True	marital_seer	Frontiers in oncology	Incidence and associated factors of developing second pelvic malignant neoplasms among prostate cancer patients treated with radiotherapy.
37933039	2023	True	marital_seer	Medicine	Establishment and assessment of a nomogram for predicting prognosis in bone-metastatic prostate cancer.
37754206	2023	True	marital_seer	Urology practice	Inequities in Definitive Treatment for Localized Prostate Cancer Among Those With Clinically Significant Mental Health Disorders.
37891423	2023	True	marital_seer,ml_decomposition	Scientific reports	Development of machine learning prognostic models for overall survival of prostate cancer patients with lymph node-positive.
37853026	2023	True	marital_seer	Scientific reports	Development and validation of a nomogram to predict cancer-specific survival in nonsurgically treated elderly patients with prostate cancer.
37145881	2023	True	marital_seer	American journal of clinical oncology	Clinical Characteristics and Survival Analysis of Patients With Second Primary Malignancies After Hepatocellular Carcinoma Liver Transplantation: A SEER-based Analysis.
36727535	2023	True	marital_seer,rural_seer	Cancer medicine	Socioeconomic determinants are associated with the utilization and outcomes of active surveillance or watchful waiting in favorable-risk prostate cancer.
35993499	2023	True	marital_seer	Cancer medicine	Nomograms and scoring system for forecasting overall and cancer-specific survival of patients with prostate cancer.
36760871	2023	True	marital_seer	Translational andrology and urology	Influencing factors for mortality in prostate cancer patients with T1 and T2 stage: a retrospective cohort study.
36472651	2023	True	marital_seer	World journal of urology	Prostate cancer mortality rates in low- and favorable intermediate-risk active surveillance patients: a population-based competing risks analysis.
35758717	2023	True	marital_seer	Cancer medicine	Effects of marital status on survival of retroperitoneal liposarcomas stratified by age and sex: A population-based study.
36329203	2022	True	marital_seer	Scientific reports	Construction and validation of web-based nomograms for detecting and prognosticating in prostate adenocarcinoma with bone metastasis.
36041992	2022	True	marital_seer	Journal of geriatric oncology	A comparison of end-of-life care patterns between older patients with both cancer and Alzheimer's disease and related dementias versus those with only cancer.
36330113	2022	True	marital_seer	Frontiers in public health	Gleason score, surgical and distant metastasis are associated with cancer-specific survival and overall survival in middle aged high-risk prostate cancer: A population-based study.
36313203	2022	True	marital_seer	American journal of clinical and experimental urology	Analysis of the influence of marital status on prognosis of prostate cancer patients based on big data.
36130756	2022	True	marital_seer	BMJ open	Contribution of insurance status to the association between marital status and cancer-specific survival: a mediation analysis.
36217401	2022	True	marital_seer	Translational andrology and urology	Development and validation of a nomogram for predicting the overall survival of prostate cancer patients: a large population-based cohort study.
35322943	2022	True	marital_seer	Cancer medicine	Nomogram for predicting the overall survival of patients with early-onset prostate cancer: A population-based retrospective study.
35903379	2022	True	marital_seer	Frontiers in public health	A Web-Based Prediction Model for Cancer-Specific Survival of Elderly Patients Undergoing Surgery With Prostate Cancer: A Population-Based Study.
35814387	2022	True	marital_seer	Frontiers in oncology	Development and Validation of Nomograms to Predict Cancer-Specific Survival and Overall Survival in Elderly Patients With Prostate Cancer: A Population-Based Study.
35534219	2022	True	marital_seer	Investigative and clinical urology	Relationships between erectile dysfunction, prostate cancer treatment type and inflatable penile prosthesis implantation.
35331219	2022	True	marital_seer	BMC urology	Competing risk of the specific mortality among Asian-American patients with prostate cancer: a surveillance, epidemiology, and end results analysis.
34927741	2022	True	marital_seer,income_seer	The Prostate	How socioeconomic and clinical factors impact prostate-cancer-specific and other-cause mortality in prostate cancer stratified by clinical stage: Competing-risk analysis.
34108645	2022	True	marital_seer	Prostate cancer and prostatic diseases	Trends and practices for managing low-risk prostate cancer: a SEER-Medicare study.
35150221	2022	True	marital_seer	The Canadian journal of urology	Single black men have the worst prognosis with localized prostate cancer.
34462244	2022	True	marital_seer	Clinical lymphoma, myeloma & leukemia	Differential Survival Outcomes Between De Novo and Secondary Acute Promyelocytic Leukemia: An Updated Population-based study.
34171209	2021	True	marital_seer	Canadian Urological Association journal = Journal de l'Association des urologues du Canada	Incidence and mortality trends of metastatic prostate cancer: Surveillance, Epidemiology, and End Results database analysis.
34901145	2021	True	marital_seer	Frontiers in surgery	Predicting Cancer-Specific Survival Among Patients With Prostate Cancer After Radical Prostatectomy Based on the Competing Risk Model: Population-Based Study.
33992522	2021	True	marital_seer	Urologic oncology	The effect of race/ethnicity on active treatment rates among septuagenarian or older low risk prostate cancer patients.
34275018	2021	True	marital_seer	European journal of epidemiology	Marital status and prostate cancer incidence: a pooled analysis of 12 case-control studies from the PRACTICAL consortium.
34221015	2021	True	marital_seer	Journal of oncology	Systematic Pan-Cancer Population-Based Analysis Reveals the Incidence and Prognosis of Lung Metastases at Diagnosis.
34047792	2021	True	marital_seer	JAMA network open	Assessment of Modifiable Factors for the Association of Marital Status With Cancer-Specific Survival.
33981602	2021	True	marital_seer	Frontiers in oncology	Prognostic Models for Patients With Gleason Score 9 Prostate Cancer: A Population-Based Study.
33847621	2021	True	marital_seer	Medicine	Clinicopathological characteristics and survival outcomes in neuroendocrine prostate cancer: A population-based study.
33928035	2021	True	marital_seer	Frontiers in oncology	Population-Based Comparison of Different Risk Stratification Systems Among Prostate Cancer Patients.
33532305	2021	True	marital_seer	Translational andrology and urology	Cause-specific mortality of low and selective intermediate-risk prostate cancer patients with active surveillance or watchful waiting.
33284845	2020	True	marital_seer,incremental_value_social_factors	PloS one	Predicting the 10-year risk of death from other causes in men with localized prostate cancer using patient-reported factors: Development of a tool.
32499554	2020	True	marital_seer,rural_seer	Scientific reports	Prognosis of prostate cancer and bone metastasis pattern of patients: a SEER-based study and a local hospital based study from China.
32321456	2020	True	marital_seer	BMC cancer	Tumor characteristics, treatments, and survival outcomes in prostate cancer patients with a PSA level < 4 ng/ml: a population-based study.
31769876	2020	True	marital_seer	Cancer	Impact of age at diagnosis of de novo metastatic prostate cancer on survival.
32019501	2020	True	marital_seer	BMC cancer	Development and validation of a preoperative nomogram for predicting survival of patients with locally advanced prostate cancer after radical prostatectomy.
35117404	2020	True	marital_seer	Translational cancer research	Widowed status predicts poor overall survival of Chinese patients with prostate cancer.
32268338	2020	True	marital_seer	Urologia internationalis	Examined and Positive Lymph Node Counts Are Associated with Mortality in Prostate Cancer: A Population-Based Analysis.
31784868	2019	True	marital_seer	Clinical and translational medicine	Sites of synchronous distant metastases and prognosis in prostate cancer patients with bone metastases at initial diagnosis: a population-based study of 16,643 patients.
31289983	2019	False	marital_seer	International urology and nephrology	Development and validation of prognostic nomograms for patients with metastatic prostate cancer.
31129038	2019	True	marital_seer	Urologic oncology	Contemporary clinicopathological characteristics of pT0 prostate cancer at radical prostatectomy: A population-based study.
31103337	2019	True	marital_seer	Urologic oncology	Contemporary analysis of the effect of marital status on survival of prostate cancer patients across all stages: A population-based study.
31423166	2019	True	marital_seer	Oncology letters	A Surveillance, Epidemiology and End Results database analysis of the prognostic value of organ-specific metastases in patients with advanced prostatic adenocarcinoma.
30332597	2019	True	marital_seer	Canadian Urological Association journal = Journal de l'Association des urologues du Canada	The impact of marriage on the overall survival of prostate cancer patients: A Surveillance, Epidemiology, and End Results (SEER) analysis.
30450562	2019	True	marital_seer	The Prostate	Death due to sepsis in patients diagnosed with prostate cancer.
30342845	2019	True	marital_seer	Clinical genitourinary cancer	Increasing Rate of Noninterventional Treatment Management in Localized Prostate Cancer Candidates for Active Surveillance: A North American Population-Based Study.
29752141	2019	True	marital_seer	Journal of geriatric oncology	Predictors of falls in older survivors of breast and prostate cancer: A retrospective cohort study of surveillance, epidemiology and end results-Medicare health outcomes survey linkage.
32855903	2018	True	marital_seer	Spatial statistics	Bayesian cure-rate survival model with spatially structured censoring.
29970963	2018	True	marital_seer	Cancer management and research	The homogeneous and heterogeneous risk factors for the morbidity and prognosis of bone metastasis in patients with prostate cancer.
29579318	2018	True	marital_seer	Cancer	Increased resource use in men with metastatic prostate cancer does not result in improved survival or quality of care at the end of life.
29773955	2018	True	marital_seer	Cancer management and research	Survival outcomes of radical prostatectomy and external beam radiotherapy in clinically localized high-risk prostate cancer: a population-based, propensity score matched study.
29552113	2018	False	marital_seer	Oncology letters	Marital status independently predicts prostate cancer survival in men who underwent radical prostatectomy: An analysis of 95,846 individuals.
29339806	2018	True	marital_seer	Prostate cancer and prostatic diseases	Tumor characteristics, treatments, and oncological outcomes of prostate cancer in men aged ≤50 years: a population-based study.
28753764	2018	True	marital_seer	European urology focus	Contemporary Management of Prostate Cancer Patients Suitable for Active Surveillance: A North American Population-based Study.
26951945	2016	True	marital_seer	European urology	Assessment of the Rate of Adherence to International Guidelines for Androgen Deprivation Therapy with External-beam Radiation Therapy: A Population-based Study.
26329748	2015	True	marital_seer	International urology and nephrology	A population-based analysis of contemporary patterns of care in younger men (<60 years old) with localized prostate cancer.
26220664	2015	True	marital_seer	Radiation oncology (London, England)	Conditional cancer-specific mortality in T4, N1, or M1 prostate cancer: implications for long-term prognosis.
25990612	2015	True	marital_seer	Urologic oncology	Differential post-prostatectomy cancer-specific survival of occult T3 vs. clinical T3 prostate cancer: Implications for managing patients upstaged on prostate magnetic resonance imaging.
25917222	2015	True	marital_seer	Cancer	Variation in insurance status by patient demographics and tumor site among nonelderly adult patients with cancer.
25690909	2015	True	marital_seer	Cancer	Factors associated with suicide in patients with genitourinary malignancies.
25644324	2015	True	marital_seer,income_seer	The American journal of medicine	Who bears the greatest burden of aggressive treatment of indolent prostate cancer?
25554010	2015	True	marital_seer	Clinical genitourinary cancer	National trends in the recommendation of radiotherapy after prostatectomy for prostate cancer before and after the reporting of a survival benefit in March 2009.
25547676	2015	True	marital_seer	Clinical genitourinary cancer	Cardiovascular mortality in patients with metastatic prostate cancer exposed to androgen deprivation therapy: a population-based study.
24748076	2015	True	marital_seer,rural_seer	Journal of immigrant and minority health	Prostate Cancer Prognostic Factors Among Asian Patients Born in the US Compared to Those Born Abroad.
25151595	2015	True	marital_seer	Urologic oncology	Gleason stratifications prognostic for survival in men receiving definitive external beam radiation therapy for localized prostate cancer.
25583770	2015	True	marital_seer	Journal of the National Comprehensive Cancer Network : JNCCN	Cost implications and complications of overtreatment of low-risk prostate cancer in the United States.
25106900	2015	True	marital_seer	The Journal of urology	National trends in the management of low and intermediate risk prostate cancer in the United States.
24931803	2014	True	marital_seer,income_seer	The Journal of urology	Current clinical presentation and treatment of localized prostate cancer in the United States.
25002728	2014	True	marital_seer,rural_seer	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Effect of depression on diagnosis, treatment, and mortality of men with clinically localized prostate cancer.
24050892	2014	True	marital_seer,income_seer	Brachytherapy	Declining use of brachytherapy for the treatment of prostate cancer.
24392353	2013	True	marital_seer	Frontiers in oncology	Age and Racial Differences among PSA-Detected (AJCC Stage T1cN0M0) Prostate Cancer in the U.S.: A Population-Based Study of 70,345 Men.
22892435	2013	True	marital_seer	American journal of clinical oncology	Patterns of care for elderly men diagnosed with favorable-risk prostate cancer from 2004 to 2008: a population-based analysis.
21906968	2013	True	marital_seer	Urologic oncology	Use of radical cystectomy as initial therapy for the treatment of high-grade T1 urothelial carcinoma of the bladder: a SEER database analysis.
24674370	2013	True	marital_seer	Practical radiation oncology	Radiation therapy for clinically node-positive prostate adenocarcinoma is correlated with improved overall and prostate cancer-specific survival.
23587510	2013	True	marital_seer	The Canadian journal of urology	Marital status and prostate cancer outcomes.
22449122	2012	True	marital_seer	BJU international	Marital status: a gender-independent risk factor for poorer survival after radical cystectomy.
22300560	2012	True	marital_seer	International journal of radiation oncology, biology, physics	Is primary prostate cancer treatment influenced by likelihood of extraprostatic disease? A surveillance, epidemiology and end results patterns of care study.
22085255	2012	True	marital_seer	BJU international	Locally advanced prostate cancer: a population-based study of treatment patterns.
22184761	2011	True	marital_seer	Archives of dermatology	Risk and survival of cutaneous melanoma diagnosed subsequent to a previous cancer.
21643929	2011	True	marital_seer	Cancer causes & control : CCC	The effect of marital status on stage and survival of prostate cancer patients treated with radical prostatectomy: a population-based study.
21426495	2011	True	marital_seer	The journal of sexual medicine	Penile implant utilization following treatment for prostate cancer: analysis of the SEER-Medicare database.
20333462	2010	True	marital_seer	Cancer causes & control : CCC	Racial differences in PSA screening interval and stage at diagnosis.
19012905	2009	False	marital_seer	The Journal of urology	Provider case volume and outcomes following prostate brachytherapy.
16879674	2006	True	marital_seer	BJU international	Trends and predictors of aggressive therapy for clinical locally advanced prostate carcinoma.
16118801	2005	True	marital_seer	Cancer	Impact of brachytherapy on regional, racial, marital status, and age-related patterns of definitive treatment for clinically localized prostate carcinoma.
16078264	2005	True	marital_seer	Cancer	Marriage and mortality in bladder carcinoma.
15795905	2005	True	marital_seer	Cancer	Marriage and ethnicity predict treatment in localized prostate carcinoma.
15612083	2005	True	marital_seer	Cancer	Racial treatment trends in localized/regional prostate carcinoma: 1992-1999.
15230937	2004	True	marital_seer	Health services research	Hospice use by Hispanic and non-Hispanic white cancer decedents.
15017208	2004	True	marital_seer	The Journal of urology	Racial/ethnic disparities in the treatment of localized/regional prostate cancer.
14734948	2004	True	marital_seer	Medical care	Decreasing variation in the use of hospice among older adults with breast, colorectal, lung, and prostate cancer.
12785419	2003	True	marital_seer	Ethnicity & disease	Black-white differences in survival from late-stage prostate cancer.
12146848	2002	True	marital_seer	Cancer causes & control : CCC	Effect of young age on prostate cancer survival: a population-based assessment (United States).
41925394	2026	True	rural_seer	Urologic oncology	Rural-urban variation in guideline-concordant management of early-stage kidney, prostate, and testicular cancer in the United States (2010-2022).
41990793	2026	True	rural_seer	Journal of the National Comprehensive Cancer Network : JNCCN	BPI26-020: Rural Disparities in Definitive Therapy for Prostate Cancer in the United States, 2010-2022: A Population-Based SEER Analysis.
41671443	2025	True	rural_seer	Journal of the National Comprehensive Cancer Network : JNCCN	Geographic Variability in Germline Genetic Testing for Prostate Cancer: A Nationwide Medicare Claims Study With Evidence of Low Uptake.
40423551	2025	True	rural_seer	Urology practice	Rural-Urban Differences and Socioeconomic Disparities in Long-Term Urinary Adverse Events Following Prostate Cancer Treatment.
40073832	2025	True	rural_seer	Journal of the National Comprehensive Cancer Network : JNCCN	Rurality Status and Cardiovascular Events/Survival in Older Men With Prostate Cancer.
40344273	2025	True	rural_seer	The Journal of rural health : official journal of the American Rural Health Association and the National Rural Health Care Association	Risks of adverse health outcomes among older rural prostate cancer survivors in the SEER-Medicare data.
39663166	2024	True	rural_seer	BMJ open	Prediction of relative survival trends in patients with cutaneous squamous cell carcinoma using a model-based period analysis: a retrospective analysis of the surveillance, epidemiology, and end results database.
39495143	2024	True	rural_seer	JNCI cancer spectrum	County-level racial disparities in prostate cancer-specific mortality from 2005 to 2020.
39268691	2024	True	rural_seer,income_seer	Cancer medicine	The COVID-19 pandemic and associated declines in cancer incidence by race/ethnicity and census-tract level SES, rurality, and persistent poverty status.
39036758	2024	True	rural_seer	Prostate international	Association between pelvic lymph node dissection and survival among patients with prostate cancer treated with radical prostatectomy.
37046601	2023	True	rural_seer	Cancers	Rural-Urban Disparities in Patient Care Experiences among Prostate Cancer Survivors: A SEER-CAHPS Study.
34242060	2021	True	rural_seer	JCO oncology practice	Potential Winners and Losers: Understanding How the Oncology Care Model May Differentially Affect Hospitals.
33155063	2021	True	rural_seer	World journal of urology	Differences between rural and urban prostate cancer patients.
34094691	2021	True	rural_seer,income_seer	American journal of cancer research	Trends in treatments for prostate cancer in the United States, 2010-2015.
33136241	2021	True	rural_seer	Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation	Rural-urban differences in health-related quality of life: patterns for cancer survivors compared to other older adults.
27486887	2017	True	rural_seer	Urologia internationalis	Differences in Patient Characteristics among Men Choosing Open or Robot-Assisted Radical Prostatectomy in Contemporary Practice - Analysis of Surveillance, Epidemiology, and End Results Database.
26782713	2016	True	rural_seer	Prostate cancer and prostatic diseases	Variation in prostate cancer treatment associated with population density of the county of residence.
25153773	2014	True	rural_seer	Urologic oncology	Mental health outcomes in elderly men with prostate cancer.
24980272	2014	True	rural_seer	Prostate cancer and prostatic diseases	The association between insurance status and prostate cancer outcomes: implications for the Affordable Care Act.
23765584	2013	True	rural_seer,income_seer	Cancer	Treatment of early-stage prostate cancer among rural and urban patients.
23017528	2013	True	rural_seer	The Journal of urology	Trends in the use of incontinence procedures after radical prostatectomy: a population based analysis.
22192688	2012	True	rural_seer	BJU international	Comparative effectiveness of cryotherapy vs brachytherapy for localised prostate cancer.
21823112	2012	True	rural_seer	Cancer	Inappropriate utilization of radiographic imaging in men with newly diagnosed prostate cancer in the United States.
21351084	2011	True	rural_seer,income_seer	Cancer	Racial/ethnic disparities in survival among men diagnosed with prostate cancer in Texas.
42726934	2026	False	income_seer	Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery	Differences of Community-Level Vulnerability Associations With Early- and Later-Onset Nasopharyngeal Cancer Prognosis in the United States.
42714329	2026	True	income_seer	Clinical orthopaedics and related research	The Area Deprivation Index Identifies Survival Disparities in Osteosarcoma When Other Social Determinants of Health Do Not.
42663776	2026	True	income_seer	Annals of surgical oncology	Urban-Rural Disparities in Treatment and Outcomes for Colorectal Liver Metastases in the United States: A SEER-Medicare Analysis.
42583918	2026	True	income_seer	Medical care	Geographic Access, Transportation Resources, and Early-Stage Lung Cancer Treatment Among Socioeconomically Disadvantaged Patients.
42692955	2026	True	income_seer	International journal of gynecological cancer : official journal of the International Gynecological Cancer Society	Association of digital access with survival in gynecologic cancers: Analysis of the surveillance, epidemiology, and end results (SEER) database.
42526581	2026	True	income_seer	Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract	Socioeconomic gradients measured by the Yost index and colorectal cancer outcomes: a Surveillance, Epidemiology, and End Results-Medicare analysis.
41933566	2026	True	income_seer	American journal of ophthalmology	The Role of Geography in United States Retinoblastoma Care.
42504871	2026	True	income_seer	Journal of the National Cancer Institute	Cancer-attributable costs in older adults: SEER-Medicare analysis of variation by site, stage, and race.
42224734	2026	True	income_seer	Neurosurgical focus	Racial disparities in the survival outcomes of craniopharyngioma: a 17-year population-based analysis.
42224733	2026	True	income_seer	Neurosurgical focus	Racial and socioeconomic disparities in long-term survival in craniopharyngioma: a SEER database analysis.
41865265	2026	True	income_seer	Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery	Place-Based Disparities in Treatment and Time-to-Initiation for Head and Neck Cancer.
40768681	2026	True	income_seer	JCO oncology practice	Racial and Ethnic Disparities in Receipt of Guideline-Concordant Pancreatic Cancer Care Among Older Adults in the United States.
41996299	2026	True	income_seer	American journal of clinical oncology	Racial Disparities in Pancreatic Cancer: A Comprehensive Population-Based Analysis of Survival, Surgical Access, and Prognostic Factors.
41955246	2026	True	income_seer	PloS one	Association of medicaid expansion with lung cancer-specific and overall mortality: A difference-in-differences analysis.
41543492	2026	True	income_seer	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	Census Tract-Level Persistent Poverty and Liver Cancer Survival: A Population-Based Study.
41351693	2026	True	income_seer	Annals of surgical oncology	Short-and Long-term Patient Outcomes in Hospitals Primarily Serving Patients with Colorectal Cancer from High-Poverty Areas-An Observational Cohort Study.
40601879	2026	True	income_seer	JCO oncology practice	Physician Specialization and Receipt of Updated Breast Cancer Care in the United States: A SEER-Medicare Analysis.
40476571	2026	True	income_seer	Health services research	Hospital Accreditation and Geographic Disparities in Timely Cancer Care.
41741192	2026	True	income_seer	Cancer medicine	Cardiovascular Mortality Risk After Cancer Diagnosis by County-Level Characteristics in the United States 2000-2021.
41634999	2026	True	income_seer	Journal of neuroendocrinology	Determinants of incidence trends in pancreatic neuroendocrine neoplasms.
41418446	2026	True	income_seer	Clinical breast cancer	The Influence of Socioeconomic Status on Stage at Diagnosis and Survival in Young Breast Cancer Patients.
40906319	2025	True	income_seer	Cancer causes & control : CCC	County-level socioeconomic status, rurality, and second primary cancer risk among breast cancer survivors in the United States.
41187936	2025	True	income_seer	Cancer medicine	Adequate Catchment Area Representation in Cancer Clinical Trials at NCI Designated Cancer Centers: The University of California Irvine Experience.
40456459	2025	True	income_seer	Annals of epidemiology	County-level socioeconomic, race-ethnicity, household, and infrastructure vulnerability associations with bone cancer treatment and prognosis in the US.
40663723	2025	True	income_seer	JMIR cancer	The Impact of Digital Inequities on Nasal and Paranasal-Sinus Cancer Disparities in the United States: A Cohort Study.
40563652	2025	True	income_seer	Cancers	Barriers to Post-Mastectomy Breast Reconstruction: A Comprehensive Retrospective Study.
40105752	2025	True	income_seer	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	Racialized Economic Segregation, Treatment, and Outcomes in Women with Triple-Negative Breast Cancer.
